384	384	0.066	3.5
385	385	0.03	2.5
386	386	0.2	3.74
387	387	0.2	3.15
388	388	0.14	2.9
389	389	0.066	3.5
390	390	0.03	2.5
391	391	0.2	3.74
392	392	0.2	3.15
393	393	0.14	2.9
394	394	0.066	3.5
395	395	0.03	2.5
396	396	0.066	3.5
397	397	0.03	2.5
398	398	0.07	3.55
399	399	0.066	3.5
400	400	0.03	2.5
401	401	0.07	3.55
402	402	0.066	3.5
403	403	0.03	2.5
404	404	0.07	3.55
405	405	0.066	3.5
406	406	0.105	3.75
407	407	0.21	2.96
408	408	0.17	3
409	409	0.066	3.5
410	410	0.015	2.42
411	411	0.105	3.75
412	412	0.105	3.75
413	413	0.07	3.55
414	414	0.17	3
415	415	0.25	3.55
416	416	0.17	2.96
417	417	0.066	3.5
418	418	0.03	2.5
419	419	0.17	3.25
420	420	0	0
421	421	0.17	3.25
422	422	0	0
423	423	0.066	3.5
424	424	0.03	2.5
425	425	0.066	3.5
426	426	0.03	2.5
427	427	0.066	3.5
428	428	0.03	2.5
429	429	0.07	3.55
430	430	0.07	3.55
431	431	0.066	3.5
432	432	0.066	3.5
433	433	0.066	3.5
434	434	0.25	3.55
435	435	0.17	2.96
436	436	0.395	3.56
437	437	0.395	3.56
438	438	0.28	2.93
439	439	0.066	3.5
440	440	0.066	3.5
441	441	0.07	3.55
442	442	0.07	3.55
443	443	0.07	3.55
444	444	0.17	3.25
445	445	0	0
446	446	0.066	3.5
447	447	0.07	3.55
448	448	0.07	3.55
449	449	0.07	3.55
450	450	0.07	3.55
451	451	0.07	3.55
452	452	0.17	3.25
453	453	0.17	3.25
454	454	0	0
455	455	0.07	3.55
456	456	0.066	3.5
457	457	0.066	3.5
458	458	0.076	3.55
459	459	0.076	3.55
460	460	0.07	3.55
461	461	0.17	3.25
462	462	0.07	3.55
463	463	0.07	3.55
464	464	0.07	3.55
465	465	0.03	2.42
466	466	0.03	2.42
467	467	0.03	2.42
468	468	0.17	3.25
469	469	0.07	3.55
470	470	0.03	2.42
471	471	0.17	3.25
472	472	0.07	3.55
473	473	0.07	3.55
474	474	0.07	3.55
475	475	0.03	2.42
476	476	0.03	2.42
477	477	0.03	2.42
478	478	0.17	3.25
479	479	0.07	3.55
480	480	0.07	3.55
481	481	0.03	2.42
482	482	0.03	2.42
483	483	0.17	3.25
484	484	0.07	3.55
485	485	0.07	3.55
486	486	0	0
487	487	0.03	2.42
488	488	0.03	2.42
489	489	0.17	3.25
490	490	0.17	3.25
491	491	0.07	3.55
492	492	0.07	3.55
493	493	0.07	3.55
494	494	0	0
